sourceMac,typeNr,subTypeNr,seqNr,retryFlag,measurementTimestamp,droneId,signal
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3419,0,1423137037566,Alpha,-61
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3421,0,1423137039481,Alpha,-61
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3431,0,1423137092743,Hotel,-77
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3431,0,1423137092751,November,-77
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3432,0,1423137092765,Hotel,-77
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,8,6,0,1423137092767,Alpha,-62
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3432,0,1423137092773,November,-78
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3431,0,1423137092783,Alpha,-61
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,8,0,0,1423137092805,Alpha,-63
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3432,0,1423137092805,Alpha,-62
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3434,0,1423137092904,November,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,13,2829,0,1423137092918,Hotel,-81
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,13,2829,0,1423137092927,November,-79
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,8,1,0,1423137092936,Alpha,-63
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3434,0,1423137092936,Alpha,-63
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,13,2829,0,1423137092958,Alpha,-66
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3436,0,1423137092992,November,-77
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3437,0,1423137093149,November,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,8,8,0,1423137093215,Alpha,-67
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3436,0,1423137093238,Alpha,-64
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3438,0,1423137093247,November,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3438,0,1423137093278,Alpha,-67
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3439,0,1423137093481,Hotel,-74
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3439,0,1423137093489,November,-77
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3439,0,1423137093521,Alpha,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3440,0,1423137093564,Hotel,-74
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3440,0,1423137093572,November,-76
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3440,0,1423137093604,Alpha,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3441,0,1423137093957,Alpha,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3442,0,1423137094591,November,-76
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3443,0,1423137094596,November,-76
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3442,0,1423137094622,Alpha,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3444,0,1423137094766,Hotel,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3444,0,1423137094774,November,-77
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3444,0,1423137094806,Alpha,-68
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3445,0,1423137094888,Hotel,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3446,0,1423137094954,November,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3449,0,1423137095168,Hotel,-74
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3449,0,1423137095176,November,-71
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3449,0,1423137095208,Alpha,-64
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3450,0,1423137095230,Hotel,-71
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3450,0,1423137095238,November,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3450,0,1423137095270,Alpha,-65
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3452,0,1423137095321,Hotel,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3452,0,1423137095329,November,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3448,0,1423137095837,Alpha,-64
